epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,783.558,0.61175,0.42431,0.07189,0.00826,0.93113,0.88028,0.94112,0.87326,0.42054,0.36164,0.11104,0.00389,0.0008045,0.0008045,0.0008045
38,804.383,0.60583,0.41304,0.07765,0.00846,0.96248,0.91878,0.95656,0.88924,0.38721,0.31379,0.10959,0.00421,0.000792125,0.000792125,0.000792125
39,825.493,0.59636,0.40977,0.0743,0.00789,0.9718,0.89539,0.9542,0.89858,0.3972,0.30341,0.11209,0.00512,0.00077975,0.00077975,0.00077975
40,845.819,0.59492,0.4,0.07507,0.00841,0.94917,0.93872,0.95126,0.9056,0.37863,0.30018,0.11128,0.00543,0.000767375,0.000767375,0.000767375
41,867.538,0.58095,0.39131,0.07406,0.00923,0.9675,0.92279,0.94542,0.90134,0.35116,0.28496,0.11063,0.00412,0.000755,0.000755,0.000755
42,887.304,0.57874,0.39531,0.07549,0.00812,0.97592,0.8994,0.94222,0.87442,0.39141,0.33609,0.11164,0.00406,0.000742625,0.000742625,0.000742625
43,908.861,0.56278,0.38093,0.07569,0.0076,0.94985,0.9213,0.94872,0.89263,0.36784,0.3372,0.11144,0.00346,0.00073025,0.00073025,0.00073025
44,928.817,0.56923,0.37678,0.07361,0.00941,0.97658,0.92318,0.95165,0.8815,0.38738,0.32349,0.11082,0.00384,0.000717875,0.000717875,0.000717875
45,950.322,0.55086,0.36688,0.0751,0.00756,0.97416,0.92279,0.95148,0.89274,0.37616,0.29009,0.11242,0.0036,0.0007055,0.0007055,0.0007055
46,970.269,0.56293,0.36353,0.07573,0.00764,0.97343,0.91604,0.95777,0.90341,0.36041,0.27713,0.11213,0.00357,0.000693125,0.000693125,0.000693125
47,991.218,0.544,0.35887,0.07231,0.00716,0.98528,0.91551,0.9506,0.8835,0.39593,0.30474,0.10979,0.0039,0.00068075,0.00068075,0.00068075
48,1012.12,0.57145,0.36851,0.07212,0.00736,0.97329,0.90764,0.95579,0.90509,0.37029,0.31403,0.11191,0.00347,0.000668375,0.000668375,0.000668375
49,1032.13,0.54825,0.35704,0.07812,0.00774,0.97788,0.91675,0.95118,0.88536,0.39841,0.30058,0.11144,0.00367,0.000656,0.000656,0.000656
50,1053.36,0.5703,0.35933,0.076,0.00807,0.9538,0.89675,0.94732,0.89608,0.38393,0.31466,0.11191,0.00432,0.000643625,0.000643625,0.000643625
51,1073.15,0.57647,0.36989,0.07572,0.0077,0.9679,0.91368,0.95046,0.90799,0.39167,0.30578,0.11227,0.00426,0.00063125,0.00063125,0.00063125
52,1094.34,0.54112,0.35892,0.0719,0.00714,0.95897,0.92785,0.95087,0.90669,0.38983,0.30845,0.11267,0.00411,0.000618875,0.000618875,0.000618875
53,1114.14,0.53629,0.3492,0.07611,0.00669,0.94849,0.92227,0.95078,0.8802,0.40062,0.30664,0.11091,0.0042,0.0006065,0.0006065,0.0006065
54,1134.81,0.54577,0.34124,0.07733,0.00722,0.93131,0.91783,0.94776,0.91149,0.35459,0.31418,0.11157,0.00387,0.000594125,0.000594125,0.000594125
55,1154.63,0.52789,0.34661,0.07574,0.00658,0.95744,0.90616,0.94979,0.91896,0.35047,0.32533,0.11128,0.00325,0.00058175,0.00058175,0.00058175
56,1175.87,0.538,0.3444,0.07498,0.00669,0.99079,0.91343,0.95283,0.89921,0.3796,0.2659,0.11179,0.00364,0.000569375,0.000569375,0.000569375
57,1195.52,0.5306,0.33245,0.07323,0.00625,0.98455,0.91713,0.95205,0.90263,0.38157,0.28285,0.11228,0.00386,0.000557,0.000557,0.000557
58,1216.63,0.52085,0.33585,0.07296,0.00714,0.97273,0.93663,0.95361,0.91101,0.37562,0.2654,0.11115,0.00371,0.000544625,0.000544625,0.000544625
59,1236.63,0.52154,0.33337,0.07659,0.00671,0.98363,0.90525,0.95154,0.90405,0.37146,0.27386,0.11209,0.00372,0.00053225,0.00053225,0.00053225
60,1257.73,0.52515,0.33793,0.07433,0.00669,0.97032,0.91912,0.95236,0.90882,0.36052,0.26668,0.1116,0.00302,0.000519875,0.000519875,0.000519875
61,1278,0.50631,0.31983,0.07711,0.00576,0.96502,0.9153,0.95182,0.91778,0.33609,0.27882,0.11189,0.00345,0.0005075,0.0005075,0.0005075
62,1299.12,0.52699,0.32972,0.07528,0.00625,0.97614,0.92218,0.95131,0.91272,0.35973,0.27045,0.11099,0.0034,0.000495125,0.000495125,0.000495125
63,1319.9,0.52119,0.32952,0.07131,0.00659,0.96149,0.9279,0.95177,0.91125,0.37251,0.2789,0.11177,0.00311,0.00048275,0.00048275,0.00048275
64,1340,0.51127,0.32212,0.07877,0.00672,0.95245,0.93998,0.95122,0.90572,0.36559,0.27975,0.11066,0.0035,0.000470375,0.000470375,0.000470375
65,1361.25,0.51635,0.32802,0.0765,0.00742,0.98154,0.9178,0.95102,0.9101,0.36446,0.28659,0.11133,0.00281,0.000458,0.000458,0.000458
66,1381.1,0.49871,0.31333,0.07542,0.00577,0.97949,0.92762,0.95148,0.90973,0.34167,0.27323,0.11097,0.00389,0.000445625,0.000445625,0.000445625
67,1402.34,0.49715,0.3087,0.07472,0.00604,0.96635,0.91789,0.95093,0.91777,0.34912,0.26215,0.11157,0.00311,0.00043325,0.00043325,0.00043325
68,1422.29,0.50756,0.30943,0.07346,0.00619,0.94351,0.91601,0.94224,0.89696,0.35658,0.32343,0.11169,0.00346,0.000420875,0.000420875,0.000420875
69,1443.43,0.5127,0.31512,0.07503,0.00647,0.96397,0.92153,0.9426,0.90246,0.37297,0.30525,0.11197,0.0037,0.0004085,0.0004085,0.0004085
70,1463.53,0.49019,0.29576,0.07264,0.00547,0.95248,0.8982,0.94908,0.91124,0.33956,0.30162,0.11157,0.00353,0.000396125,0.000396125,0.000396125
71,1484.83,0.48938,0.306,0.07593,0.0061,0.96827,0.89673,0.94283,0.89973,0.36506,0.31844,0.11137,0.00367,0.00038375,0.00038375,0.00038375
72,1505.38,0.49101,0.3052,0.07503,0.00555,0.96356,0.9181,0.95142,0.91245,0.36638,0.30491,0.11197,0.00344,0.000371375,0.000371375,0.000371375
73,1526.51,0.50695,0.31506,0.07272,0.00614,0.97259,0.90262,0.94817,0.90616,0.3326,0.30731,0.11143,0.00316,0.000359,0.000359,0.000359
74,1547.35,0.48375,0.29506,0.07383,0.00612,0.95689,0.92804,0.9498,0.91691,0.33416,0.29507,0.11172,0.00234,0.000346625,0.000346625,0.000346625
75,1567.98,0.48957,0.29863,0.07763,0.00592,0.98052,0.90799,0.94979,0.9195,0.34319,0.28577,0.11211,0.0024,0.00033425,0.00033425,0.00033425
76,1589.66,0.47471,0.28736,0.07371,0.00572,0.97658,0.91378,0.95049,0.92309,0.32538,0.27039,0.11138,0.0024,0.000321875,0.000321875,0.000321875
77,1610.03,0.48132,0.28576,0.07313,0.00543,0.9703,0.92632,0.95125,0.91592,0.3431,0.2683,0.11133,0.00246,0.0003095,0.0003095,0.0003095
78,1631.71,0.48357,0.29777,0.0771,0.00549,0.9745,0.91655,0.9441,0.91229,0.33142,0.27861,0.11154,0.00238,0.000297125,0.000297125,0.000297125
79,1652.42,0.48648,0.29814,0.07366,0.00565,0.96869,0.91365,0.94969,0.91443,0.34258,0.29083,0.11195,0.00245,0.00028475,0.00028475,0.00028475
80,1673.15,0.47297,0.28759,0.0719,0.00595,0.95118,0.91358,0.95104,0.91103,0.35288,0.3001,0.11197,0.00236,0.000272375,0.000272375,0.000272375
81,1693.41,0.48102,0.29947,0.0782,0.00522,0.96905,0.92038,0.9493,0.90421,0.34249,0.29033,0.11108,0.00312,0.00026,0.00026,0.00026
82,1713.9,0.49224,0.29974,0.07444,0.00583,0.97664,0.91394,0.94994,0.91808,0.34326,0.28998,0.11154,0.00317,0.000247625,0.000247625,0.000247625
83,1734.34,0.48379,0.28786,0.07442,0.00576,0.93898,0.93181,0.94919,0.92087,0.33454,0.2896,0.11161,0.00297,0.00023525,0.00023525,0.00023525
84,1754.58,0.47367,0.29004,0.0753,0.00562,0.96262,0.92884,0.9523,0.92194,0.32985,0.2656,0.11179,0.00292,0.000222875,0.000222875,0.000222875
85,1775.75,0.46917,0.29234,0.07354,0.00518,0.97897,0.91977,0.9427,0.90663,0.34727,0.27265,0.11143,0.00296,0.0002105,0.0002105,0.0002105
86,1795.36,0.47103,0.28307,0.0782,0.00554,0.97479,0.91528,0.94932,0.91935,0.33383,0.27601,0.11183,0.0026,0.000198125,0.000198125,0.000198125
87,1816.32,0.4712,0.28366,0.07436,0.00602,0.97317,0.92049,0.94965,0.91729,0.3442,0.28438,0.11137,0.00288,0.00018575,0.00018575,0.00018575
88,1835.96,0.45938,0.27796,0.07435,0.00562,0.96494,0.92402,0.95002,0.91884,0.3401,0.28096,0.11152,0.00306,0.000173375,0.000173375,0.000173375
89,1856.95,0.46865,0.28929,0.0756,0.00544,0.96197,0.92927,0.94991,0.91849,0.33679,0.28049,0.11184,0.00311,0.000161,0.000161,0.000161
